url_path,views_total,views_unique
/LukasBraun2/color-bot-windows,46,7
/LukasBraun2/color-bot-windows/graphs/traffic,37,1
/LukasBraun2/color-bot-windows/pulse,35,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,20,1
/LukasBraun2/color-bot-windows/blob/main/ConquestLauncher.jar,5,4
/LukasBraun2/color-bot-windows/tree/github-repo-stats,4,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,2,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,2,1
/LukasBraun2/color-bot-windows/blob/main/README.md,2,1
/LukasBraun2/color-bot-windows/graphs/commit-activity,2,1
