url_path,views_total,views_unique
/LukasBraun2/color-bot-windows,11,2
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,11,1
/LukasBraun2/color-bot-windows/pulse,8,1
/LukasBraun2/color-bot-windows/graphs/traffic,7,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2/color-bot-windows,5,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,4,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2/color-bot-windows/latest-report,4,1
/LukasBraun2/color-bot-windows/actions/workflows/github-repo-stats.yml,2,1
/LukasBraun2/color-bot-windows/branches,2,1
/LukasBraun2/color-bot-windows/compare/github-repo-stats,2,1
