url_path,views_total,views_unique
/LukasBraun2/color-bot-windows,61,10
/LukasBraun2/color-bot-windows/graphs/traffic,42,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,41,4
/LukasBraun2/color-bot-windows/pulse,40,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,9,2
/LukasBraun2/color-bot-windows/blob/main/ConquestLauncher.jar,5,4
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,4,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,3,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2/color-bot-windows/latest-report,3,1
/LukasBraun2/color-bot-windows/commits/main,2,2
